2023-09-28 22:38:10,360 - INFO - User('264560031989@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:38:33,227 - INFO - User('264560031989@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:38:33,460 - INFO - User('0000928200592230@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:38:33,704 - INFO - User('0000200306147807@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:38:34,007 - INFO - User('0000517661535517@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:39:15,642 - INFO - User('264560031989@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:39:15,888 - INFO - User('0000928200592230@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:39:16,111 - INFO - User('0000200306147807@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:40:23,715 - INFO - User('264560031989@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:40:23,943 - INFO - User('0000928200592230@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:40:24,177 - INFO - User('0000200306147807@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:40:31,441 - INFO - User('264560031989@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:40:31,690 - INFO - User('0000928200592230@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:40:31,932 - INFO - User('0000200306147807@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:40:32,183 - INFO - User('0000517661535517@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:42:06,215 - INFO - User('264560031989@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:42:06,478 - INFO - User('0000928200592230@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:42:06,725 - INFO - User('0000200306147807@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:42:07,153 - INFO - User('0000517661535517@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:51:13,071 - INFO - User('264560031989@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:51:13,330 - INFO - User('0000928200592230@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:51:13,589 - INFO - User('0000200306147807@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:51:13,821 - INFO - User('0000517661535517@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:52:33,875 - INFO - User('264560031989@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:52:34,129 - INFO - User('0000928200592230@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:52:34,578 - INFO - User('0000200306147807@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:52:34,797 - INFO - User('0000517661535517@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:52:44,526 - INFO - User('264560031989@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:52:44,769 - INFO - User('0000928200592230@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:52:44,980 - INFO - User('0000200306147807@test.eduid.ch', 'NZ', 'S'): user data available
2023-09-28 22:52:45,203 - INFO - User('0000517661535517@test.eduid.ch', 'NZ', 'S'): user data available
